# Selection : patch(Outlet)
# Faces  :    118
# Area   :    3.020705e-04
# Time        	areaAverage(p)
11500         	1.016300e+02
12000         	1.016300e+02
12500         	1.016300e+02
13000         	1.016300e+02
13500         	1.016300e+02
